origin,modern
I have a mind to strike thee ere thou speak’st.,I have half a mind to hit you before you speak again.
"Yet if thou say Antony lives, is well, Or friends with Caesar, or not captive to him, I’ll set thee in a shower of gold and hail Rich pearls upon thee.","But if Antony is alive, healthy, friendly with Caesar, and not Caesar’s prisoner, I’ll shower you with gold and pearls."
"Madam, he’s well.","Madam, he’s well."
Well said.,That’s well spoken.
And friends with Caesar.,And he’s friendly with Caesar.
Th’ art an honest man.,You are an honest man.
Caesar and he are greater friends than ever.,Caesar and he are better friends than ever.
Make thee a fortune from me.,I’m going to make you a rich man.
"But yet, madam— I do not like “But yet.” It does allay The good precedence.","But yet, madam— I don’t like the sound of “but yet.” It reverses all the good that came before it."
Fie upon “But yet.” “But yet” is as a jailer to bring forth Some monstrous malefactor.,"Damn those words, “but yet!” “But yet” is like a jailer about to bring out some horrible criminal."
"Prithee, friend, Pour out the pack of matter to mine ear, The good and bad together.","Please, my friend, give me all the news, both good and bad, at the same time."
"He’s friends with Caesar, In state of health, thou say’st, and, thou say’st, free.","You say he’s friendly with Caesar, healthy, and free."
"Free, madam, no.","I didn’t say free, madam."
I made no such report.,"No, I didn’t say that."
He’s bound unto Octavia.,He’s bound to Octavia.
For what good turn?,For what favor?
For the best turn i’ th’ bed.,For the favor of sleeping in her bed.
"I am pale, Charmian.","I’m sick, Charmian."
"Madam, he’s married to Octavia.","He’s married to Octavia, madam."
The most infectious pestilence upon thee!,May you die of the worst disease!
"Good madam, patience.","Good madam, be patient."
What say you?,What did you say to me?
"Hence, horrible villain, or I’ll spurn thine eyes Like balls before me!","Get out, you horrible bastard, or I’ll gouge out your eyes."
I’ll unhair thy head!,I’ll scalp you.
"Thou shalt be whipped with wire and stewed in brine, Smarting in ling’ring pickle!","I’ll have you whipped with wire and soaked in brine like a pickle, making your pain linger."
"Say ’tis not so, a province I will give thee And make thy fortunes proud.","If you say it isn’t true, I’ll give you a province and make you rich."
"The blow thou hadst Shall make thy peace for moving me to rage, And I will boot thee with what gift beside Thy modesty can beg.",The blows I gave you already will make up for your upsetting me.
"He’s married, madam.","He’s married, madam."
"Rogue, thou hast lived too long.","Rogue, you’ve lived too long!"
"Nay then, I’ll run.","No way, then, I’ll run."
"What mean you, madam?","What’s the matter with you, madam?"
I have made no fault.,I haven’t done anything to you.
"Good madam, keep yourself within yourself.","Good madam, restrain yourself."
The man is innocent.,The man hasn’t done anything wrong.
Some innocents ’scape not the thunderbolt.,Even innocents cannot always escape disaster.
"Melt Egypt into Nile, and kindly creatures Turn all to serpents.",May Egypt drown in the Nile and all good creatures turn into poisonous snakes.
Call the slave again.,Call that servant back.
"Though I am mad, I will not bite him.","Even though I’m mad, I won’t bite him."
Call!,Call him!
He is afeard to come.,He’s afraid to come in.
I will not hurt him.,I won’t hurt him.
"These hands do lack nobility that they strike A meaner than myself, since I myself Have given myself the cause.","My hands are tainted if they hit an inferior, especially since I myself am the cause of my own distress."
"Come hither, sir.","Come here, sir."
"Though it be honest, it is never good To bring bad news.","It may be honest, but it’s never wise to bring bad news."
"Give to a gracious message An host of tongues, but let ill tidings tell Themselves when they be felt.","You can give good news in many ways, but let bad news interpret itself as you tell it."
I have done my duty.,I’ve only done my duty.
Is he married?,Is he married?
The gods confound thee!,May the gods destroy you!
Dost thou hold there still?,Do you maintain the same story?
"Should I lie, madam?","Do you want me to lie, madam?"
"Go, get thee hence.","Go, get out!"
I crave your highness’ pardon.,Even if you were as handsome as  I beg your highness’ pardon.
He is married?,Is he really married?
Take no offense that I would not offend you.,Please don’t be offended that I don’t want to offend you any more.
To punish me for what you make me do Seems much unequal.,It’s not fair to punish me for something you make me do.
He’s married to Octavia.,He’s married to Octavia.
"Oh, that his fault should make a knave of thee, That art not what th’ art sure of!",It’s too bad that Antony’s fault should make you look like a jerk.
Get thee hence.,Go away.
The merchandise which thou hast brought from Rome Are all too dear for me.,The merchandise you bring from Rome is too expensive for me.
Lie they upon thy hand And be undone by ’em!,Let it stay in your inventory until it bankrupts you.
"Good your highness, patience.","Be patient, your highness."
"In praising Antony, I have dispraised Caesar.","When I have praised Antony, I’ve disparaged Caesar."
"Many times, madam.","Many times, madam."
I am paid for ’t now.,I’m being repaid for that now.
Lead me from hence.,Help me out of here.
"O Iras, Charmian!","Oh, Iras, Charmian!"
"Tis no matter.— Go to the fellow, good Alexas.",It doesn’t matter.
"Bid him Report the feature of Octavia: her years, Her inclination.",How old is she?
Let him not leave out The color of her hair.,Don’t let him leave out the color of her hair.
Bring me word how tall she is.,Bring me his answers quickly.
Lead me to my chamber.,Even though half of him is like a 
"Lord Alexas, sweet Alexas, most anything Alexas, almost most absolute Alexas, where’s the soothsayer that you praised so to th’ Queen?","Lord Alexas, sweet Alexas, most anything Alexas, almost the most consummate Alexas, where’s the fortuneteller you recommended so highly to the Queen?"
"Oh that I knew this husband, which, you say, must charge his horns with garlands!","Oh, I only wish I knew the name of that husband you said he predicted will have a cheating wife!"
"I make not, but foresee.",I don’t make fortunes; I only see them.
"Pray, then, foresee me one.",Then see a good one for me.
"No, you shall paint when you are old.","No, he means you’ll use makeup when you’re old."
Wrinkles forbid!,May my wrinkles forbid that!
Vex not his prescience.,Don’t joke about his predictions.
Be attentive.,Pay attention.
Hush!,Quiet!
You shall be more beloving than beloved. ,You will love more than you are loved.
"Most meet That first we come to words, and therefore have we Our written purposes before us sent, Which, if thou hast considered, let us know If ’twill tie up thy discontented sword And carry back to Sicily much tall youth That else must perish here.","It’s proper that we speak first, which is why we sent our proposals ahead of us for your consideration."
What was ’t That moved pale Cassius to conspire?,Why did Cassius conspire against Caesar?
Take your time.,Take your time.
"Thou canst not fear us, Pompey, with thy sails.","Pompey, you cannot frighten us with your navy."
We’ll speak with thee at sea.,We’ll meet you at sea.
"At land, thou know’st How much we do o’ercount thee.","Yes, on land you do outnumber me."
"At land indeed Thou dost o’ercount me of my father’s house, But since the cuckoo builds not for himself, Remain in ’t as thou mayst.",Even more since you annexed my father’s house and lands.
Be pleased to tell us— For this is from the present—how you take The offers we have sent you.,"But since,  To get back to the matter at hand, what do you think of our proposal?"
There’s the point.,That’s the point.
"Which do not be entreated to, but weigh What it is worth embraced.","Don’t let us talk you into anything, but consider carefully the value of our offers."
"You have made me offer Of Sicily, Sardinia.",You have offered me the lands of Sicily and Sardinia.
"And I must Rid all the sea of pirates, then, to send Measures of wheat to Rome.","In return, I must clear the sea of pirates and send tributes of wheat to Rome."
This ’greed upon To part with unhacked edges and bear back Our targes undinted.,"If I agree to this, we may leave unharmed, with our shields undented."
That’s our offer.,That’s our offer.
"Know then I came before you here a man prepared To take this offer, but Mark Antony Put me to some impatience.",You should know that when I came here I was prepared to accept your offer.
Let me have your hand.,Let me shake your hand.
"I did not think, sir, to have met you here.",I didn’t think I would see you here.
